year,sex,location,source,count
2006,Men,Community,Gyeongnam,13186
2006,Men,Community,Jeju,5562
2006,Men,Community,Outside of Korean Red Cross,0
2006,Men,Personal Participation,Korean Red Cross,827387
2006,Men,Personal Participation,Central Seoul,82473
2006,Men,Personal Participation,Western Seoul,70786
2006,Men,Personal Participation,Southern Seoul,91324
2006,Men,Personal Participation,Eastern Seoul,71609
2006,Men,Personal Participation,Busan,88350
2006,Men,Personal Participation,DaeguGyeongbuk,60112
2006,Men,Personal Participation,Incheon,41893
2006,Men,Personal Participation,Ulsan,34018
2006,Men,Personal Participation,Gyeonggi,53362
2006,Men,Personal Participation,Gangwon,13987
2006,Men,Personal Participation,Chungbuk,27003
2006,Men,Personal Participation,DaejeonChungnam,38563
2006,Men,Personal Participation,Jeonbuk,39492
2006,Men,Personal Participation,Jeonnam,77880
2006,Men,Personal Participation,Gyeongnam,29665
2006,Men,Personal Participation,Jeju,6870
2006,Men,Personal Participation,Outside of Korean Red Cross,43762
2006,Men,In Hospital,Korean Red Cross,30055
2006,Men,In Hospital,Central Seoul,1188
2006,Men,In Hospital,Western Seoul,1647
2006,Men,In Hospital,Southern Seoul,1753
2006,Men,In Hospital,Eastern Seoul,5149
2006,Men,In Hospital,Busan,769
2006,Men,In Hospital,DaeguGyeongbuk,1833
2006,Men,In Hospital,Incheon,2632
2006,Men,In Hospital,Ulsan,430
2006,Men,In Hospital,Gyeonggi,3548
2006,Men,In Hospital,Gangwon,1476
2006,Men,In Hospital,Chungbuk,351
2006,Men,In Hospital,DaejeonChungnam,1827
2006,Men,In Hospital,Jeonbuk,681
2006,Men,In Hospital,Jeonnam,174
2006,Men,In Hospital,Gyeongnam,6093
2006,Men,In Hospital,Jeju,504
2006,Men,In Hospital,Outside of Korean Red Cross,43762
2006,Men,Blood donation house,Korean Red Cross,696014
2006,Men,Blood donation house,Central Seoul,73713
2006,Men,Blood donation house,Western Seoul,55670
2006,Men,Blood donation house,Southern Seoul,73471
2006,Men,Blood donation house,Eastern Seoul,56658
2006,Men,Blood donation house,Busan,78492
2006,Men,Blood donation house,DaeguGyeongbuk,53734
2006,Men,Blood donation house,Incheon,35215
2006,Men,Blood donation house,Ulsan,28551
2006,Men,Blood donation house,Gyeonggi,37007
2006,Men,Blood donation house,Gangwon,12353
2006,Men,Blood donation house,Chungbuk,26413
2006,Men,Blood donation house,DaejeonChungnam,28443
2006,Men,Blood donation house,Jeonbuk,38711
2006,Men,Blood donation house,Jeonnam,77011
