"Daily",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"07.09",19123,20555,32331,31437,44512,47578,22535,28926,32203,31950,34903,19123,22724,19011,19015,19602,13584,35514,26592
"07.10",19430,20449,33959,32106,45990,50150,24571,28686,32327,31938,35834,19430,22552,18603,18223,19024,15787,36193,26702
"07.11",19210,20840,35395,31960,47212,50511,22403,27716,32290,32919,37857,19210,22965,17798,18915,21158,17002,34899,25790
"07.12",19090,21393,34641,33204,48037,50820,19198,28702,31003,35777,38422,19090,22694,18303,19417,21497,15614,34710,26444
"07.13",20114,23610,35443,33234,47444,49586,18930,29274,33852,36437,38579,20114,23950,18785,21274,20090,15204,34831,26978
"07.14",20038,23300,36131,33266,45763,51610,19816,31943,34734,36756,39058,20038,24139,20080,21626,18938,13835,34448,27484
"07.15",20638,23123,36183,32905,47223,53020,19020,33068,34492,36528,39064,20638,26233,20518,21868,18296,13087,33928,29009
"07.16",22168,22304,37350,33296,47099,52660,21154,33453,34917,38231,39690,22168,26685,20721,21449,17664,13445,32440,29893
"07.17",22624,22098,37253,34554,46051,54161,22950,33848,35144,39434,40312,22624,27607,20055,21362,17981,15767,33745,30217
"07.18",23172,20576,38202,34684,46546,55405,21231,34463,36077,40265,43467,23172,27980,19521,21638,21249,17440,32480,29507
"07.19",23649,19995,37648,35107,48097,55360,20152,35253,35174,42971,43774,23649,28652,18788,21115,22506,15971,31924,29069
"07.20",23500,19965,36802,36147,47438,54666,19806,36144,37076,44199,42597,23500,29564,18665,22282,21677,14680,32175,28907
"07.21",23289,19133,37048,35477,46367,53509,19781,38253,38153,44387,42327,23289,30186,20344,23221,20256,13599,31083,29893
"07.22",23462,20351,37472,35167,45935,52594,19097,39211,37300,44458,41063,23462,32037,20048,22428,18902,12693,30459,33376
"07.23",25139,20426,36973,34240,44801,51379,21331,38166,35845,43664,40666,25139,32151,20335,20601,17575,12064,32477,34486
"07.24",26160,19396,36603,33290,43381,53228,22631,36811,34655,43423,39639,26160,32618,19373,19287,17689,13262,34025,33843
"07.25",25480,18483,35361,31790,45767,54664,21166,36524,34177,42565,41616,25480,32202,18542,18307,20470,13811,32610,33325
"07.26",24590,18437,34342,33812,46960,53913,20548,36108,32930,45210,42377,24590,32127,17504,17983,21324,13263,31996,32763
"07.27",23461,17992,33210,34443,47035,52822,18902,35385,34740,46241,41546,23461,32336,16933,19697,20094,12372,31522,32173
"07.28",23701,17833,33626,34169,46539,52095,18631,37181,35598,45403,40342,23701,32386,18499,20420,19096,11956,30696,31955
"07.29",22827,18218,33673,33287,46033,51986,17522,37901,35306,45320,39476,22827,34408,19728,19378,18205,11722,30023,33983
"07.30",24550,18013,33159,32477,45902,51439,19571,36217,34921,45268,38860,24550,34739,19885,18693,17547,12162,31149,34763
"07.31",25053,17142,32235,32380,45393,53103,20927,35469,34948,45229,37675,25053,35681,19704,18008,17763,14142,31996,34154
"08.01",24046,17170,31482,31361,46157,53970,19702,35051,35529,44569,39997,24046,35820,19593,17702,19976,15947,30620,33153
"08.02",22804,17419,31375,31869,47194,53646,19730,34255,35013,47257,41158,22804,35986,18591,17665,20532,14555,29284,32247
"08.03",22786,16759,29610,32628,46942,53350,17436,32722,37311,47413,39911,22786,35781,18103,18864,20800,13972,27912,31297
"08.04",22604,16148,29407,31872,45649,52886,17206,34852,39089,47027,38608,22604,36529,20137,19382,20845,13424,26249,30458
"08.05",22020,16143,29301,31685,44806,52177,15331,35455,37936,46342,37520,22020,38106,20023,18079,20293,12722,25464,31856
"08.06",23446,15979,29299,31818,44426,50994,16741,34144,37019,45613,35700,23446,37879,19790,16904,20693,12429,27272,32428
"08.07",23971,15436,28194,31805,43411,52908,17967,32772,37174,45207,34315,23971,37593,18670,15918,23036,14154,28713,30681
